Using symmetry
>>> Using Physical Prior: Weight Tying (Scale Invariance)
kernelShape: [2, 2]
total nubmer of trainable parameters: 178040
epoch: 0 L: -1295.440185546875 F: -1295.440185546875 +/- 47.481563568115234
epoch: 1 L: -860.0109252929688 F: -860.0109252929688 +/- 91.82079315185547
epoch: 2 L: -1393.5213623046875 F: -1393.5213623046875 +/- 43.88702392578125
epoch: 3 L: -1532.5546875 F: -1532.5546875 +/- 28.993133544921875
epoch: 4 L: -1501.28759765625 F: -1501.28759765625 +/- 54.5030403137207
epoch: 5 L: -1608.3699951171875 F: -1608.3699951171875 +/- 63.550174713134766
epoch: 6 L: -1736.7542724609375 F: -1736.7542724609375 +/- 54.9786491394043
epoch: 7 L: -1568.0491943359375 F: -1568.0491943359375 +/- 89.19513702392578
epoch: 8 L: -1704.38037109375 F: -1704.38037109375 +/- 47.24999237060547
epoch: 9 L: -1821.245849609375 F: -1821.245849609375 +/- 44.88854217529297
epoch: 10 L: -1787.584228515625 F: -1787.584228515625 +/- 51.72380447387695
epoch: 11 L: -1783.544921875 F: -1783.544921875 +/- 36.73478317260742
epoch: 12 L: -1840.447998046875 F: -1840.447998046875 +/- 39.804561614990234
epoch: 13 L: -1902.2005615234375 F: -1902.2005615234375 +/- 48.91706848144531
epoch: 14 L: -1934.2581787109375 F: -1934.2581787109375 +/- 47.21890640258789
epoch: 15 L: -1928.47900390625 F: -1928.47900390625 +/- 50.30870056152344
epoch: 16 L: -1982.375244140625 F: -1982.375244140625 +/- 33.20343780517578
epoch: 17 L: -1982.39892578125 F: -1982.39892578125 +/- 31.27077293395996
epoch: 18 L: -1957.8680419921875 F: -1957.8680419921875 +/- 41.90056228637695
epoch: 19 L: -2031.2333984375 F: -2031.2333984375 +/- 25.333717346191406
epoch: 20 L: -2046.7049560546875 F: -2046.7049560546875 +/- 20.831745147705078
epoch: 21 L: -2038.873291015625 F: -2038.873291015625 +/- 26.726978302001953
epoch: 22 L: -2067.039794921875 F: -2067.039794921875 +/- 21.84770393371582
epoch: 23 L: -2063.570068359375 F: -2063.570068359375 +/- 17.41051483154297
epoch: 24 L: -2053.49755859375 F: -2053.49755859375 +/- 20.4207763671875
epoch: 25 L: -2083.46533203125 F: -2083.46533203125 +/- 17.571870803833008
epoch: 26 L: -2095.1103515625 F: -2095.1103515625 +/- 16.71776008605957
epoch: 27 L: -2088.67041015625 F: -2088.67041015625 +/- 19.074283599853516
epoch: 28 L: -2104.58935546875 F: -2104.58935546875 +/- 15.058700561523438
epoch: 29 L: -2109.13623046875 F: -2109.13623046875 +/- 18.518041610717773
epoch: 30 L: -2100.84814453125 F: -2100.84814453125 +/- 22.660385131835938
epoch: 31 L: -2114.421630859375 F: -2114.421630859375 +/- 15.124671936035156
epoch: 32 L: -2117.30615234375 F: -2117.30615234375 +/- 16.60066032409668
epoch: 33 L: -2119.7392578125 F: -2119.7392578125 +/- 16.38007354736328
epoch: 34 L: -2128.097412109375 F: -2128.097412109375 +/- 16.14217185974121
epoch: 35 L: -2123.078125 F: -2123.078125 +/- 16.949951171875
epoch: 36 L: -2124.84130859375 F: -2124.84130859375 +/- 16.419322967529297
epoch: 37 L: -2132.2587890625 F: -2132.2587890625 +/- 14.939969062805176
epoch: 38 L: -2130.134765625 F: -2130.134765625 +/- 16.275188446044922
epoch: 39 L: -2139.09033203125 F: -2139.09033203125 +/- 13.767844200134277
epoch: 40 L: -2139.25634765625 F: -2139.25634765625 +/- 13.509954452514648
epoch: 41 L: -2138.6943359375 F: -2138.6943359375 +/- 15.335582733154297
epoch: 42 L: -2144.604248046875 F: -2144.604248046875 +/- 14.17564868927002
epoch: 43 L: -2137.423583984375 F: -2137.423583984375 +/- 14.953125953674316
epoch: 44 L: -2142.546875 F: -2142.546875 +/- 14.295080184936523
epoch: 45 L: -2145.880859375 F: -2145.880859375 +/- 12.683613777160645
epoch: 46 L: -2143.310791015625 F: -2143.310791015625 +/- 14.840656280517578
epoch: 47 L: -2147.6240234375 F: -2147.6240234375 +/- 13.036418914794922
epoch: 48 L: -2146.9013671875 F: -2146.9013671875 +/- 13.485605239868164
epoch: 49 L: -2148.632080078125 F: -2148.632080078125 +/- 12.74601936340332
epoch: 50 L: -2148.154541015625 F: -2148.154541015625 +/- 13.133696556091309
epoch: 51 L: -2148.10693359375 F: -2148.10693359375 +/- 14.028081893920898
epoch: 52 L: -2151.31640625 F: -2151.31640625 +/- 11.84371566772461
epoch: 53 L: -2151.419189453125 F: -2151.419189453125 +/- 12.917941093444824
epoch: 54 L: -2149.5 F: -2149.5 +/- 14.603767395019531
epoch: 55 L: -2154.23681640625 F: -2154.23681640625 +/- 13.51761245727539
epoch: 56 L: -2149.810791015625 F: -2149.810791015625 +/- 14.774718284606934
epoch: 57 L: -2153.61474609375 F: -2153.61474609375 +/- 13.609185218811035
epoch: 58 L: -2154.758544921875 F: -2154.758544921875 +/- 14.072981834411621
epoch: 59 L: -2154.5908203125 F: -2154.5908203125 +/- 13.361281394958496
epoch: 60 L: -2155.187744140625 F: -2155.187744140625 +/- 14.180461883544922
epoch: 61 L: -2153.13720703125 F: -2153.13720703125 +/- 14.814940452575684
epoch: 62 L: -2152.2939453125 F: -2152.2939453125 +/- 13.864104270935059
epoch: 63 L: -2154.564453125 F: -2154.564453125 +/- 13.985113143920898
epoch: 64 L: -2155.826171875 F: -2155.826171875 +/- 13.309076309204102
epoch: 65 L: -2154.53857421875 F: -2154.53857421875 +/- 13.310818672180176
epoch: 66 L: -2155.3818359375 F: -2155.3818359375 +/- 13.925542831420898
epoch: 67 L: -2154.012451171875 F: -2154.012451171875 +/- 15.644994735717773
epoch: 68 L: -2155.623046875 F: -2155.623046875 +/- 13.84459114074707
epoch: 69 L: -2155.046875 F: -2155.046875 +/- 14.500137329101562
epoch: 70 L: -2157.837646484375 F: -2157.837646484375 +/- 14.409322738647461
epoch: 71 L: -2156.6123046875 F: -2156.6123046875 +/- 14.697118759155273
epoch: 72 L: -2156.54345703125 F: -2156.54345703125 +/- 13.954605102539062
epoch: 73 L: -2157.71435546875 F: -2157.71435546875 +/- 13.829865455627441
epoch: 74 L: -2157.9306640625 F: -2157.9306640625 +/- 14.6426420211792
epoch: 75 L: -2159.26171875 F: -2159.26171875 +/- 12.248631477355957
epoch: 76 L: -2159.4580078125 F: -2159.4580078125 +/- 12.885168075561523
epoch: 77 L: -2158.60546875 F: -2158.60546875 +/- 13.01822280883789
epoch: 78 L: -2159.37158203125 F: -2159.37158203125 +/- 12.948334693908691
epoch: 79 L: -2158.497802734375 F: -2158.497802734375 +/- 15.076458930969238
epoch: 80 L: -2159.165771484375 F: -2159.165771484375 +/- 13.103553771972656
epoch: 81 L: -2159.9853515625 F: -2159.9853515625 +/- 14.64555835723877
epoch: 82 L: -2159.2529296875 F: -2159.2529296875 +/- 14.04824447631836
epoch: 83 L: -2158.88916015625 F: -2158.88916015625 +/- 14.260108947753906
epoch: 84 L: -2159.369140625 F: -2159.369140625 +/- 12.750927925109863
epoch: 85 L: -2158.768798828125 F: -2158.768798828125 +/- 14.223946571350098
epoch: 86 L: -2160.0224609375 F: -2160.0224609375 +/- 13.934922218322754
epoch: 87 L: -2158.94091796875 F: -2158.94091796875 +/- 13.779924392700195
epoch: 88 L: -2160.43017578125 F: -2160.43017578125 +/- 16.224123001098633
epoch: 89 L: -2159.93310546875 F: -2159.93310546875 +/- 13.168261528015137
epoch: 90 L: -2161.56640625 F: -2161.56640625 +/- 13.345813751220703
epoch: 91 L: -2160.086181640625 F: -2160.086181640625 +/- 12.669351577758789
epoch: 92 L: -2161.8779296875 F: -2161.8779296875 +/- 12.236810684204102
epoch: 93 L: -2160.63623046875 F: -2160.63623046875 +/- 13.863454818725586
epoch: 94 L: -2161.35791015625 F: -2161.35791015625 +/- 13.879179000854492
epoch: 95 L: -2160.123291015625 F: -2160.123291015625 +/- 13.598992347717285
epoch: 96 L: -2161.808837890625 F: -2161.808837890625 +/- 13.259573936462402
epoch: 97 L: -2162.71875 F: -2162.71875 +/- 13.438340187072754
epoch: 98 L: -2161.248046875 F: -2161.248046875 +/- 13.967752456665039
epoch: 99 L: -2162.65771484375 F: -2162.65771484375 +/- 14.494601249694824
epoch: 100 L: -2163.319580078125 F: -2163.319580078125 +/- 12.474810600280762
accratio_z: 0.9296875 obs_z: 0.6485212589914227  +/-  0.005192593839399266
accratio_x: 0.8828125 obs_x: 0.006242328714126721  +/-  0.0006597987911852966
epoch: 101 L: -2162.6884765625 F: -2162.6884765625 +/- 13.429804801940918
epoch: 102 L: -2161.99462890625 F: -2161.99462890625 +/- 13.31913948059082
epoch: 103 L: -2162.05419921875 F: -2162.05419921875 +/- 13.018695831298828
epoch: 104 L: -2162.947265625 F: -2162.947265625 +/- 13.512980461120605
epoch: 105 L: -2164.024169921875 F: -2164.024169921875 +/- 10.642126083374023
epoch: 106 L: -2162.83154296875 F: -2162.83154296875 +/- 11.941275596618652
epoch: 107 L: -2162.83203125 F: -2162.83203125 +/- 13.254981994628906
epoch: 108 L: -2161.967041015625 F: -2161.967041015625 +/- 12.942861557006836
epoch: 109 L: -2163.898193359375 F: -2163.898193359375 +/- 12.627123832702637
epoch: 110 L: -2163.9052734375 F: -2163.9052734375 +/- 14.270604133605957
epoch: 111 L: -2162.4697265625 F: -2162.4697265625 +/- 13.750819206237793
epoch: 112 L: -2163.473876953125 F: -2163.473876953125 +/- 14.330300331115723
epoch: 113 L: -2163.35205078125 F: -2163.35205078125 +/- 13.140581130981445
epoch: 114 L: -2164.537109375 F: -2164.537109375 +/- 11.69190502166748
epoch: 115 L: -2162.27099609375 F: -2162.27099609375 +/- 12.884797096252441
epoch: 116 L: -2163.80419921875 F: -2163.80419921875 +/- 12.320415496826172
epoch: 117 L: -2164.19384765625 F: -2164.19384765625 +/- 13.577632904052734
epoch: 118 L: -2165.08984375 F: -2165.08984375 +/- 13.169772148132324
epoch: 119 L: -2163.71630859375 F: -2163.71630859375 +/- 11.091760635375977
epoch: 120 L: -2164.55029296875 F: -2164.55029296875 +/- 12.388442993164062
epoch: 121 L: -2164.080322265625 F: -2164.080322265625 +/- 12.983663558959961
epoch: 122 L: -2165.2255859375 F: -2165.2255859375 +/- 13.319403648376465
epoch: 123 L: -2163.3291015625 F: -2163.3291015625 +/- 15.011384963989258
epoch: 124 L: -2162.5732421875 F: -2162.5732421875 +/- 14.934514045715332
epoch: 125 L: -2166.563232421875 F: -2166.563232421875 +/- 11.629384994506836
epoch: 126 L: -2166.45556640625 F: -2166.45556640625 +/- 13.868372917175293
epoch: 127 L: -2166.40869140625 F: -2166.40869140625 +/- 13.881118774414062
epoch: 128 L: -2165.3955078125 F: -2165.3955078125 +/- 12.308303833007812
epoch: 129 L: -2163.721435546875 F: -2163.721435546875 +/- 12.108166694641113
epoch: 130 L: -2166.20263671875 F: -2166.20263671875 +/- 12.730962753295898
epoch: 131 L: -2165.002197265625 F: -2165.002197265625 +/- 13.216300964355469
epoch: 132 L: -2168.03515625 F: -2168.03515625 +/- 11.790434837341309
epoch: 133 L: -2165.90234375 F: -2165.90234375 +/- 13.244316101074219
epoch: 134 L: -2165.04638671875 F: -2165.04638671875 +/- 13.762707710266113
epoch: 135 L: -2166.2529296875 F: -2166.2529296875 +/- 11.82113265991211
epoch: 136 L: -2167.4677734375 F: -2167.4677734375 +/- 11.483564376831055
epoch: 137 L: -2165.94482421875 F: -2165.94482421875 +/- 12.701738357543945
epoch: 138 L: -2164.31689453125 F: -2164.31689453125 +/- 14.16102409362793
epoch: 139 L: -2166.045654296875 F: -2166.045654296875 +/- 13.653032302856445
epoch: 140 L: -2165.785400390625 F: -2165.785400390625 +/- 11.28144359588623
epoch: 141 L: -2163.896484375 F: -2163.896484375 +/- 12.976737022399902
epoch: 142 L: -2166.03857421875 F: -2166.03857421875 +/- 13.068103790283203
epoch: 143 L: -2164.93896484375 F: -2164.93896484375 +/- 13.316316604614258
epoch: 144 L: -2165.63818359375 F: -2165.63818359375 +/- 12.18420696258545
epoch: 145 L: -2168.619384765625 F: -2168.619384765625 +/- 11.217065811157227
epoch: 146 L: -2166.659912109375 F: -2166.659912109375 +/- 12.648150444030762
epoch: 147 L: -2167.91796875 F: -2167.91796875 +/- 12.003242492675781
epoch: 148 L: -2166.56103515625 F: -2166.56103515625 +/- 12.693029403686523
epoch: 149 L: -2166.336669921875 F: -2166.336669921875 +/- 12.702583312988281
epoch: 150 L: -2165.679443359375 F: -2165.679443359375 +/- 11.67773723602295
epoch: 151 L: -2162.299560546875 F: -2162.299560546875 +/- 14.059704780578613
epoch: 152 L: -2164.68505859375 F: -2164.68505859375 +/- 12.638940811157227
epoch: 153 L: -2166.16259765625 F: -2166.16259765625 +/- 13.220008850097656
epoch: 154 L: -2167.02587890625 F: -2167.02587890625 +/- 12.636902809143066
epoch: 155 L: -2166.744140625 F: -2166.744140625 +/- 14.271014213562012
epoch: 156 L: -2167.0654296875 F: -2167.0654296875 +/- 13.038853645324707
epoch: 157 L: -2163.634033203125 F: -2163.634033203125 +/- 12.337257385253906
epoch: 158 L: -2165.33251953125 F: -2165.33251953125 +/- 13.883771896362305
epoch: 159 L: -2167.70068359375 F: -2167.70068359375 +/- 12.813772201538086
epoch: 160 L: -2164.126220703125 F: -2164.126220703125 +/- 14.992828369140625
epoch: 161 L: -2164.87841796875 F: -2164.87841796875 +/- 14.728846549987793
epoch: 162 L: -2165.455810546875 F: -2165.455810546875 +/- 12.877840995788574
epoch: 163 L: -2162.779296875 F: -2162.779296875 +/- 12.483034133911133
epoch: 164 L: -2168.866455078125 F: -2168.866455078125 +/- 11.610918045043945
epoch: 165 L: -2164.936279296875 F: -2164.936279296875 +/- 13.830510139465332
epoch: 166 L: -2169.9970703125 F: -2169.9970703125 +/- 14.166910171508789
epoch: 167 L: -2167.96826171875 F: -2167.96826171875 +/- 12.997952461242676
epoch: 168 L: -2167.16357421875 F: -2167.16357421875 +/- 13.878009796142578
epoch: 169 L: -2165.96533203125 F: -2165.96533203125 +/- 13.523874282836914
epoch: 170 L: -2164.48779296875 F: -2164.48779296875 +/- 13.673670768737793
epoch: 171 L: -2168.701904296875 F: -2168.701904296875 +/- 13.70723819732666
epoch: 172 L: -2164.54541015625 F: -2164.54541015625 +/- 12.460673332214355
epoch: 173 L: -2169.16796875 F: -2169.16796875 +/- 12.52487564086914
epoch: 174 L: -2166.75927734375 F: -2166.75927734375 +/- 11.53194522857666
epoch: 175 L: -2168.572265625 F: -2168.572265625 +/- 13.025707244873047
epoch: 176 L: -2167.833984375 F: -2167.833984375 +/- 13.487173080444336
epoch: 177 L: -2163.144775390625 F: -2163.144775390625 +/- 15.402974128723145
epoch: 178 L: -2167.926513671875 F: -2167.926513671875 +/- 12.652596473693848
epoch: 179 L: -2166.23828125 F: -2166.23828125 +/- 13.108878135681152
epoch: 180 L: -2165.32958984375 F: -2165.32958984375 +/- 13.174790382385254
epoch: 181 L: -2167.97509765625 F: -2167.97509765625 +/- 10.30216121673584
epoch: 182 L: -2166.6162109375 F: -2166.6162109375 +/- 13.245834350585938
epoch: 183 L: -2171.047607421875 F: -2171.047607421875 +/- 12.345085144042969
epoch: 184 L: -2168.169189453125 F: -2168.169189453125 +/- 13.09598445892334
epoch: 185 L: -2170.2978515625 F: -2170.2978515625 +/- 13.56601333618164
epoch: 186 L: -2169.59619140625 F: -2169.59619140625 +/- 12.164811134338379
epoch: 187 L: -2168.321533203125 F: -2168.321533203125 +/- 12.159431457519531
epoch: 188 L: -2170.86279296875 F: -2170.86279296875 +/- 11.30654239654541
epoch: 189 L: -2167.376220703125 F: -2167.376220703125 +/- 13.487272262573242
epoch: 190 L: -2166.943359375 F: -2166.943359375 +/- 12.444963455200195
epoch: 191 L: -2168.98974609375 F: -2168.98974609375 +/- 11.289775848388672
epoch: 192 L: -2169.61376953125 F: -2169.61376953125 +/- 13.515909194946289
epoch: 193 L: -2168.07861328125 F: -2168.07861328125 +/- 12.686941146850586
epoch: 194 L: -2167.50244140625 F: -2167.50244140625 +/- 12.073826789855957
epoch: 195 L: -2168.7568359375 F: -2168.7568359375 +/- 12.534417152404785
epoch: 196 L: -2168.18017578125 F: -2168.18017578125 +/- 12.731671333312988
epoch: 197 L: -2168.01171875 F: -2168.01171875 +/- 12.569599151611328
epoch: 198 L: -2169.0009765625 F: -2169.0009765625 +/- 10.7138090133667
epoch: 199 L: -2169.048095703125 F: -2169.048095703125 +/- 10.898539543151855
epoch: 200 L: -2168.7275390625 F: -2168.7275390625 +/- 12.370804786682129
accratio_z: 0.859375 obs_z: 0.574615641037326  +/-  0.0066871880774693315
accratio_x: 0.8828125 obs_x: 0.010213746827870018  +/-  0.001241886033438303
epoch: 201 L: -2169.9931640625 F: -2169.9931640625 +/- 12.081537246704102
epoch: 202 L: -2168.3310546875 F: -2168.3310546875 +/- 12.72268295288086
epoch: 203 L: -2167.31884765625 F: -2167.31884765625 +/- 13.099093437194824
epoch: 204 L: -2167.94482421875 F: -2167.94482421875 +/- 11.606950759887695
epoch: 205 L: -2168.517333984375 F: -2168.517333984375 +/- 12.313006401062012
epoch: 206 L: -2169.59326171875 F: -2169.59326171875 +/- 12.575406074523926
epoch: 207 L: -2168.515625 F: -2168.515625 +/- 12.067229270935059
epoch: 208 L: -2169.85888671875 F: -2169.85888671875 +/- 12.122282981872559
epoch: 209 L: -2169.6728515625 F: -2169.6728515625 +/- 13.459198951721191
epoch: 210 L: -2168.44384765625 F: -2168.44384765625 +/- 15.43230152130127
epoch: 211 L: -2166.72802734375 F: -2166.72802734375 +/- 11.694347381591797
epoch: 212 L: -2171.03173828125 F: -2171.03173828125 +/- 13.50026798248291
epoch: 213 L: -2168.2890625 F: -2168.2890625 +/- 13.338685989379883
epoch: 214 L: -2172.13330078125 F: -2172.13330078125 +/- 12.945326805114746
epoch: 215 L: -2169.233642578125 F: -2169.233642578125 +/- 12.233243942260742
epoch: 216 L: -2171.411376953125 F: -2171.411376953125 +/- 12.478924751281738
epoch: 217 L: -2170.1533203125 F: -2170.1533203125 +/- 11.635802268981934
epoch: 218 L: -2170.39013671875 F: -2170.39013671875 +/- 11.308382987976074
