Using symmetry
>>> Using Physical Prior: Haar Wavelet (Majority Vote)
kernelShape: [2, 2]
total nubmer of trainable parameters: 1780400
epoch: 0 L: -1379.8116455078125 F: -1379.8116455078125 +/- 31.055051803588867
epoch: 1 L: -1136.967529296875 F: -1136.967529296875 +/- 67.61006927490234
epoch: 2 L: -1478.611328125 F: -1478.611328125 +/- 28.96588706970215
epoch: 3 L: -1323.6077880859375 F: -1323.6077880859375 +/- 49.20514678955078
epoch: 4 L: -1451.983642578125 F: -1451.983642578125 +/- 38.65975570678711
epoch: 5 L: -1607.28857421875 F: -1607.28857421875 +/- 24.249427795410156
epoch: 6 L: -1614.0123291015625 F: -1614.0123291015625 +/- 27.480133056640625
epoch: 7 L: -1614.28466796875 F: -1614.28466796875 +/- 31.02036476135254
epoch: 8 L: -1684.2647705078125 F: -1684.2647705078125 +/- 27.300949096679688
epoch: 9 L: -1763.103271484375 F: -1763.103271484375 +/- 26.484899520874023
epoch: 10 L: -1749.9141845703125 F: -1749.9141845703125 +/- 22.996843338012695
epoch: 11 L: -1757.739013671875 F: -1757.739013671875 +/- 28.031633377075195
epoch: 12 L: -1836.753173828125 F: -1836.753173828125 +/- 26.511112213134766
epoch: 13 L: -1909.63525390625 F: -1909.63525390625 +/- 27.872264862060547
epoch: 14 L: -1932.146728515625 F: -1932.146728515625 +/- 30.61822509765625
epoch: 15 L: -2006.8170166015625 F: -2006.8170166015625 +/- 25.49704933166504
epoch: 16 L: -2062.437255859375 F: -2062.437255859375 +/- 22.262310028076172
epoch: 17 L: -2085.27001953125 F: -2085.27001953125 +/- 19.678010940551758
epoch: 18 L: -2135.2255859375 F: -2135.2255859375 +/- 17.170452117919922
epoch: 19 L: -2130.6044921875 F: -2130.6044921875 +/- 21.392244338989258
epoch: 20 L: -2161.31787109375 F: -2161.31787109375 +/- 18.96109962463379
epoch: 21 L: -2180.1962890625 F: -2180.1962890625 +/- 15.335654258728027
epoch: 22 L: -2165.813720703125 F: -2165.813720703125 +/- 20.030126571655273
epoch: 23 L: -2187.5537109375 F: -2187.5537109375 +/- 15.769716262817383
epoch: 24 L: -2191.982666015625 F: -2191.982666015625 +/- 15.69265365600586
epoch: 25 L: -2195.05029296875 F: -2195.05029296875 +/- 16.402000427246094
epoch: 26 L: -2190.75537109375 F: -2190.75537109375 +/- 19.2362060546875
